  "id","session_id","message"
116078,"6a2a4f26-ad55-4fd3-82c8-78e27248420f","{""type"": ""ai"", ""content"": ""Hola Hipolito, gracias por tu interés en la nueva Mitsubishi Triton. ¿La buscas para trabajo pesado o para uso familiar? 🚙"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116077,"6a2a4f26-ad55-4fd3-82c8-78e27248420f","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Hipolito \nOrigen del lead: facebook_messenger\nPrimera Interacción: false\nIntentos del Lead: 1\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116076,"533ab8ee-6710-489b-ba39-2ea93e3b14bf","{""type"": ""ai"", ""content"": ""¡Saludos! Soy Carmen de Bonanza Mitsubishi. Estamos muy emocionados con la nueva Triton; es la compañera perfecta tanto para la finca como para pasear en familia. ¿Para qué uso la busca: trabajo pesado o uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116075,"533ab8ee-6710-489b-ba39-2ea93e3b14bf","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Aridia \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116074,"2a7fa6ff-6d7d-4bba-b191-1a5744d83862","{""type"": ""ai"", ""content"": ""¡Hola Kennson! Soy Carmen de Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿La busca para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116073,"2a7fa6ff-6d7d-4bba-b191-1a5744d83862","{""type"": ""human"", ""content"": ""Mensaje del lead: Cómo están\nNombre del lead: Kennson Joseph \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116072,"16ba3646-cdbd-47e6-aa69-5c1b6117afad","{""type"": ""ai"", ""content"": ""¡Saludos, Manuel! Soy Carmen de Bonanza Mitsubishi. Estamos muy emocionados con la nueva Triton; es la compañera perfecta tanto para la finca como para pasear en familia. ¿La busca para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116071,"16ba3646-cdbd-47e6-aa69-5c1b6117afad","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Manuel \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116070,"46512f5a-64a2-4b1f-9334-009a2829c62f","{""type"": ""ai"", ""content"": ""¡Saludos! Soy Carmen de Bonanza Mitsubishi. Estamos muy emocionados con la nueva Triton; es la compañera perfecta tanto para la finca como para pasear en familia. ¿Con quién tengo el gusto?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116069,"46512f5a-64a2-4b1f-9334-009a2829c62f","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Nelson \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116068,"8f9e7a6a-b1cb-4ac6-b44f-4c39ddd1846d","{""type"": ""ai"", ""content"": ""Entiendo, Cristian. ¿Podría decirme si está interesado en la Triton para trabajo pesado o para uso familiar? Esto me ayudará a ofrecerle la mejor información."", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116067,"8f9e7a6a-b1cb-4ac6-b44f-4c39ddd1846d","{""type"": ""human"", ""content"": ""Mensaje del lead: [Imagem enviada]\nNombre del lead: Cristian Ramirez \nOrigen del lead: facebook_messenger\nPrimera Interacción: false\nIntentos del Lead: 1\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116066,"2a443e4f-39b6-4e50-865f-9ddc7a2aabb0","{""type"": ""ai"", ""content"": ""¡Hola Lorenzo! Soy Carmen, su asesora en Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116065,"2a443e4f-39b6-4e50-865f-9ddc7a2aabb0","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Lorenzo \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116064,"3104ca06-e216-4ab8-9a12-078f79d0b810","{""type"": ""ai"", ""content"": ""Lo que has recibido parece ser un mensaje de phishing. Es importante que no hagas clic en ningún enlace ni proporciones información personal. Instagram nunca te pedirá que presentes una queja a través de un enlace externo. Te recomiendo que reportes este mensaje directamente a Instagram a través de su plataforma para que puedan tomar las medidas necesarias. Si tienes alguna otra consulta o necesitas ayuda con la nueva Mitsubishi Triton, estaré encantada de asistirte."", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116063,"3104ca06-e216-4ab8-9a12-078f79d0b810","{""type"": ""human"", ""content"": ""Mensaje del lead: Para el usuario\n\nHemos recibido varias quejas por escrito de fans del sitio web vinculado a su cuenta de Instagram.\n\n• Usar el apodo o la imagen de otra persona.\n\n• Publicar contenido que pueda inducir a error a otros usuarios.\n\nDebe presentar una queja en un plazo de 24 horas. Si no recibimos su queja, su cuenta será eliminada permanentemente.\n\nSi se trata de un malentendido, puede presentar una queja a través del enlace de soporte oficial.\n\n• Enlace de solicitud de soporte: ⬇️⬇️⬇️\nPara el usuario\n\nHemos recibido varias quejas por escrito de fans del sitio web vinculado a su cuenta de Instagram.\n\n• Usar el apodo o la imagen de otra persona.\n\n• Publicar contenido que pueda inducir a error a otros usuarios.\n\nDebe presentar una queja en un plazo de 24 horas. Si no recibimos su queja, su cuenta será eliminada permanentemente.\n\nSi se trata de un malentendido, puede presentar una queja a través del enlace de soporte oficial.\n\n• Enlace de solicitud de soporte: ⬇️⬇️⬇️\nln.run/active-page100838863\nln.run/active-page100838863\nNombre del lead: Chat AI \nOrigen del lead: instagram_direct\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116062,"f4324a1c-df21-42d7-855b-99cabb8d2e86","{""type"": ""ai"", ""content"": ""¡Hola Juan! Soy Carmen, su asesora en Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116061,"f4324a1c-df21-42d7-855b-99cabb8d2e86","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Juan \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116060,"f3e65a76-b2aa-4574-a4f5-e61a6cd6f616","{""type"": ""ai"", ""content"": ""¡Hola Elvido! Soy Carmen de Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116059,"f3e65a76-b2aa-4574-a4f5-e61a6cd6f616","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Elvido \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116058,"8f9e7a6a-b1cb-4ac6-b44f-4c39ddd1846d","{""type"": ""ai"", ""content"": ""¡Hola Cristian! Soy Carmen, su asesora en Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116057,"8f9e7a6a-b1cb-4ac6-b44f-4c39ddd1846d","{""type"": ""human"", ""content"": ""Mensaje del lead: Hola\nNombre del lead: Cristian Ramirez \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116056,"00e32b6f-1b75-4106-bd3b-7b42291ba530","{""type"": ""ai"", ""content"": ""¡Hola José Manuel! Soy Carmen, su asesora en Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116055,"00e32b6f-1b75-4106-bd3b-7b42291ba530","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: José manuel Osoria \nOrigen del lead: instagram_direct\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116054,"1199251965742316","{""type"": ""ai"", ""content"": ""@josemanuelosoriaulloa ¡Gracias por su interés en la Nova Triton! 🚛\nCon 2500cc y 181HP, potente y confiable para cualquier proyecto.  \nLe escribí al DM con todos los detalles y beneficios de la garantía y más."", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116053,"1199251965742316","{""type"": ""human"", ""content"": ""Comentário do lead: XX\nLegenda da postagem: Si Ya Conoces La Potencia Y El Estilo De La Nueva Mitsubishi Triton, Este Es El Momento De Dar El Siguiente Paso.\n\nDiseñada Para Acompañarte En Cada Proyecto, Trabajo O Aventura, Con La Fuerza, Tecnología Y Confort Que Solo Mitsubishi Motors Puede Ofrecer.\n\n💪 2500cc / 181HP | Tracción 4WD Super Select II | Garantía De 5 Años O 150,000 Km.\n\n👉 Agenda Tu Test-Drive Hoy Y Siente Lo Que Significa Conducir Tu Próxima Conquista.\nDescrição da imagem: Este veículo é um Mitsubishi. Parece ser uma picape, provavelmente um modelo como a Triton ou L200, e está em uma cor laranja vibrante. A imagem transmite uma sensação de aventura e a ideia de que há mais para descobrir quando se está ao volante. 🌟🚙 #MitsubishiAventuras\n## DATA E HORA ATUAL\nHoy es: Wednesday, 28/01/2026, 07:54\n[nombre_lead]: josemanuelosoriaulloa\nNo primeiro contato chame pelo nome se josemanuelosoriaulloa for um nome válido: \n\n\n"", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116052,"8ff27270-3fba-4031-b567-12969dc3e796","{""type"": ""ai"", ""content"": ""¡Saludos! Soy Carmen de Bonanza Mitsubishi. Estamos muy emocionados con la nueva Triton; es la compañera perfecta tanto para la finca como para pasear en familia. ¿Con quién tengo el gusto?"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116051,"8ff27270-3fba-4031-b567-12969dc3e796","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Frankiln \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116050,"b922a09e-0bf3-44ed-b808-6f51640e21d1","{""type"": ""ai"", ""content"": ""¡Hola Manuel! Soy Carmen de Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar? 🚙"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
116049,"b922a09e-0bf3-44ed-b808-6f51640e21d1","{""type"": ""human"", ""content"": ""Mensaje del lead: Me gustaría obtener más información\nNombre del lead: Manuel \nOrigen del lead: facebook_messenger\nPrimera Interacción: true\nIntentos del Lead: 0\nagendamento_confirmado: false\nnotifica_vendedor: "", ""additional_kwargs"": {}, ""response_metadata"": {}}"
116048,"91d846e2-a98a-4984-9e50-67ab2bf3d4c9","{""type"": ""ai"", ""content"": ""¡Hola Martin! Soy Carmen de Bonanza Mitsubishi. La nueva Triton combina la fuerza para el trabajo duro con el confort de una SUV de lujo. ¿Busca la Triton para trabajo pesado o para uso familiar? 🚙"", ""tool_calls"": [], ""additional_kwargs"": {}, ""response_metadata"": {}, ""invalid_tool_calls"": []}"
